+----------------------------+--------------------+------------------------------------------------------------------------------+--------------------+-------------------+----------------------------------------------+----------------------+
| 表名                       | 字段名             | 字段类型                                                                     | 是否允许为空       | 默认值            | 字段备注                                     | 键类型(PRI主键)      |
| guides                     | images             | text                                                                         | YES                | NULL              | 图片列表(JSON格式)                           |                      |
| guides                     | views_count        | int                                                                          | YES                | 0                 | 浏览量                                       | MUL                  |
| guides                     | likes_count        | int                                                                          | YES                | 0                 | 点赞数                                       |                      |
| guides                     | comments_count     | int                                                                          | YES                | 0                 | 评论数                                       |                      |
| guides                     | type               | varchar(50)                                                                  | YES                | NULL              | 攻略类型                                     | MUL                  |
| guides                     | difficulty         | varchar(20)                                                                  | YES                | NULL              | 难度等级                                     |                      |
| guides                     | duration           | varchar(50)                                                                  | YES                | NULL              | 建议时长                                     |                      |
| guides                     | created_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              | MUL                  |
| guides                     | updated_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
| notification               | id                 | int                                                                          | NO                 | NULL              | 通知ID                                       | PRI                  |
| notification               | user_id            | int                                                                          | NO                 | NULL              | 接收用户ID                                   | MUL                  |
| notification               | type               | varchar(50)                                                                  | YES                | NULL              | 通知类型(system/comment/like/share)          | MUL                  |
| notification               | title              | varchar(100)                                                                 | YES                | NULL              | 通知标题                                     |                      |
| notification               | content            | text                                                                         | YES                | NULL              | 通知内容                                     |                      |
| notification               | is_read            | tinyint(1)                                                                   | YES                | 0                 | 是否已读                                     | MUL                  |
| notification               | redirect_url       | varchar(500)                                                                 | YES                | NULL              | 跳转链接                                     |                      |
| notification               | created_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              | MUL                  |
| notification               | updated_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
| restaurants                | id                 | int                                                                          | NO                 | NULL              | 餐厅ID                                       | PRI                  |
| restaurants                | name               | varchar(100)                                                                 | NO                 | NULL              | 餐厅名称                                     | MUL                  |
| restaurants                | city_id            | int                                                                          | NO                 | NULL              | 城市ID                                       | MUL                  |
| restaurants                | address            | varchar(200)                                                                 | YES                | NULL              | 地址                                         |                      |
| restaurants                | latitude           | decimal(10,8)                                                                | YES                | NULL              | 纬度                                         |                      |
| restaurants                | longitude          | decimal(11,8)                                                                | YES                | NULL              | 经度                                         |                      |
| restaurants                | rating             | decimal(3,2)                                                                 | YES                | 0.00              | 评分                                         | MUL                  |
| restaurants                | price_level        | varchar(20)                                                                  | YES                | NULL              | 价格等级($/$$/$$$/$$$$)                      |                      |
| restaurants                | average_cost       | decimal(10,2)                                                                | YES                | NULL              | 人均消费                                     |                      |
| restaurants                | cuisine_type       | varchar(50)                                                                  | YES                | NULL              | 菜系类型                                     | MUL                  |
